indexer,wall_time
OCTREE,12.49465799331665
OCTREE,14.65277910232544
OCTREE,17.750921964645386
OCTREE,14.862580060958862
OCTREE,16.3282151222229
OCTREE,14.068166971206665
OCTREE,22.847424030303955
OCTREE,17.514625072479248
OCTREE,13.106585025787354
OCTREE,12.69065809249878
OCTREE,14.003422021865845
OCTREE,13.210639953613281
OCTREE,16.1583890914917
OCTREE,13.142744064331055
OCTREE,12.294217824935913
OCTREE,12.102417945861816
OCTREE,11.990927934646606
OCTREE,12.031155109405518
OCTREE,12.81583309173584
OCTREE,11.941099166870117
OCTREE,15.040034055709839
OCTREE,17.06505012512207
OCTREE,14.283298969268799
OCTREE,14.126205921173096
OCTREE,14.074366092681885
OCTREE,12.822709083557129
OCTREE,12.805086851119995
OCTREE,12.999141931533813
OCTREE,12.955431938171387
OCTREE,12.893657207489014
OCTREE,13.750612020492554
OCTREE,13.058386087417603
OCTREE,13.237834215164185
OCTREE,13.956068992614746
OCTREE,13.013378858566284
OCTREE,12.867053985595703
OCTREE,13.21715497970581
OCTREE,13.816842079162598
OCTREE,12.64273190498352
OCTREE,12.757730960845947
OCTREE,12.87015700340271
OCTREE,14.004951000213623
OCTREE,12.950555086135864
OCTREE,13.039458990097046
OCTREE,12.979665040969849
OCTREE,13.99403715133667
OCTREE,13.22305703163147
OCTREE,12.955002069473267
OCTREE,12.952935934066772
OCTREE,13.970468997955322
OCTREE,12.671194076538086
OCTREE,12.735188961029053
OCTREE,12.842280149459839
OCTREE,13.759680032730103
OCTREE,12.675858974456787
OCTREE,12.816638946533203
OCTREE,13.161914825439453
OCTREE,13.95779800415039
OCTREE,12.953866004943848
OCTREE,13.051450967788696
OCTREE,12.855727910995483
OCTREE,12.646876096725464
OCTREE,11.843101024627686
OCTREE,11.718254804611206
OCTREE,11.756969928741455
OCTREE,11.817487955093384
OCTREE,11.928573846817017
OCTREE,11.820663928985596
OCTREE,11.918612003326416
OCTREE,11.916494846343994
OCTREE,11.804196119308472
OCTREE,11.880975008010864
OCTREE,11.631592035293579
OCTREE,11.80503511428833
OCTREE,12.63441801071167
OCTREE,11.786683797836304
OCTREE,11.674649000167847
OCTREE,11.926466941833496
OCTREE,11.914804220199585
OCTREE,11.847967147827148
OCTREE,11.925011157989502
OCTREE,11.695312023162842
OCTREE,11.894479990005493
OCTREE,11.626856088638306
OCTREE,11.827789068222046
OCTREE,11.601238012313843
OCTREE,11.838348150253296
OCTREE,12.609197854995728
OCTREE,11.854798078536987
OCTREE,11.801944971084595
OCTREE,11.952532052993774
OCTREE,11.870146989822388
OCTREE,11.76154899597168
OCTREE,11.971672058105469
OCTREE,11.88843297958374
OCTREE,11.989578008651733
OCTREE,12.736191987991333
OCTREE,11.91412615776062
OCTREE,12.113898992538452
OCTREE,12.0467050075531
BVH,10.075745105743408
BVH,13.75770902633667
BVH,10.42620301246643
BVH,11.2410569190979
BVH,10.35834288597107
BVH,9.605147123336792
BVH,11.877397060394287
BVH,10.81784200668335
BVH,9.642024040222168
BVH,9.24221396446228
BVH,9.561824083328247
BVH,12.898504972457886
BVH,13.295591115951538
BVH,9.04241681098938
BVH,8.915539979934692
BVH,8.838201999664307
BVH,8.842453956604004
BVH,8.965954065322876
BVH,8.762648820877075
BVH,8.715551137924194
BVH,12.054522037506104
BVH,12.127367973327637
BVH,9.626784086227417
BVH,9.623878002166748
BVH,9.359555006027222
BVH,10.382762908935547
BVH,9.415278911590576
BVH,9.42938780784607
BVH,9.658174991607666
BVH,10.595384120941162
BVH,9.415920972824097
BVH,9.92948603630066
BVH,9.769515991210938
BVH,9.620967864990234
BVH,9.299032926559448
BVH,9.4340181350708
BVH,9.559936046600342
BVH,9.457869052886963
BVH,9.273497819900513
BVH,9.386300802230835
BVH,9.247323989868164
BVH,9.318268060684204
BVH,9.331192970275879
BVH,9.547415971755981
BVH,9.375564098358154
BVH,9.323695182800293
BVH,9.57728385925293
BVH,9.494716882705688
BVH,9.510716915130615
BVH,9.330142974853516
BVH,9.37782096862793
BVH,9.292128086090088
BVH,9.328030109405518
BVH,9.313343048095703
BVH,9.258270978927612
BVH,9.28425908088684
BVH,9.204411029815674
BVH,9.392961025238037
BVH,9.386071920394897
BVH,9.516607999801636
BVH,9.548933029174805
BVH,8.547899007797241
BVH,8.45032787322998
BVH,8.639827013015747
BVH,8.727231979370117
BVH,9.505138874053955
BVH,8.78937816619873
BVH,8.684944868087769
BVH,8.645356178283691
BVH,8.647835969924927
BVH,8.619629144668579
BVH,8.839829921722412
BVH,8.650317192077637
BVH,8.79960584640503
BVH,8.494391918182373
BVH,8.637255907058716
BVH,8.652086019515991
BVH,8.614810943603516
BVH,9.378819942474365
BVH,8.547806978225708
BVH,8.683983087539673
BVH,8.714291095733643
BVH,8.742262125015259
BVH,8.48674201965332
BVH,8.573580026626587
BVH,8.581353902816772
BVH,8.666781902313232
BVH,8.649762153625488
BVH,8.71998405456543
BVH,8.790015935897827
BVH,8.625082015991211
BVH,9.528849840164185
BVH,8.699427127838135
BVH,9.00443410873413
BVH,8.766279220581055
BVH,8.721745014190674
BVH,9.433194160461426
BVH,8.617398023605347
BVH,8.743259906768799
BVH,8.734016180038452
BVH_SAH,11.02133297920227
BVH_SAH,9.28217887878418
